supplierName,medicName,locality,street,address,contractNo,landline,mobile,phone
CABINET MEDICAL INDIVIDUAL DR SIMON ATTILA,CABINET MEDICAL INDIVIDUAL DR SIMON ATTILA,CAPLENI,PRINCIPALA,"CAPLENI, Strada PRINCIPALA",189,261873126,746131942,261873126; 746131942
SOCIETATE CIVILA MEDICALA Dr. SOLOMON,SOCIETATE CIVILA MEDICALA Dr. SOLOMON,CALINESTI OAS,PRINCIPALA,"CALINESTI OAS, Strada PRINCIPALA",201,261839293,744625127,261839293; 744625127
CABINET MEDICAL INDIVIDUAL Dr. SOOS ADELA,CABINET MEDICAL INDIVIDUAL Dr. SOOS ADELA,DOROLT,PRINCIPALA,"DOROLT, Strada PRINCIPALA",96,261751204,745799431,261751204; 745799431
CABINET MEDICAL INDIVIDUAL Dr. SOPRONI ANIKO,CABINET MEDICAL INDIVIDUAL Dr. SOPRONI ANIKO,SATU MARE,ZENIT,"SATU MARE, Strada ZENIT",102,261769616,740038558,261769616; 740038558
CABINET MEDICAL INDIVIDUAL Dr. SORA,CABINET MEDICAL INDIVIDUAL Dr. SORA,SATU MARE,Petru Rares,"SATU MARE, Strada Petru Rares",165,,745203215,; 745203215
CABINET MEDICAL INDIVIDUAL Dr. STEFANESCU CLAUDIA,CABINET MEDICAL INDIVIDUAL Dr. STEFANESCU CLAUDIA,HALMEU,ELIBERARII,"HALMEU, Strada ELIBERARII",220,261773338,,261773338; 
CABINET MEDICAL INDIVIDUAL Dr. STRUTA ROAS SERGIU,CABINET MEDICAL INDIVIDUAL Dr. STRUTA ROAS SERGIU,SATU MARE,B.P. HASDEU,"SATU MARE, Strada B.P. HASDEU",214,261754247,726339154,261754247; 726339154
CABINET MEDICAL INDIVIDUAL Dr. SUTA MIRELA,CABINET MEDICAL INDIVIDUAL Dr. SUTA MIRELA,PIR,PRINCIPALA,"PIR, Strada PRINCIPALA",156,261821703,764248348,261821703; 764248348
SPORTMEDIZIN 2016 SRL,SPORTMEDIZIN 2016 SRL,BIRSAU DE SUS,PRINCIPALA,"BIRSAU DE SUS, Strada PRINCIPALA",245,,720440777,; 720440777
CABINET MEDICAL INDIVIDUAL Dr. SZUHAI CZAHER ILEANA,CABINET MEDICAL INDIVIDUAL Dr. SZUHAI CZAHER ILEANA,ARDUD,ARDUDUL MIC,"ARDUD, Strada ARDUDUL MIC",170,261771028,745213622,261771028; 745213622
CABINET MEDICAL INDIVIDUAL TINCAU CELIA,CABINET MEDICAL INDIVIDUAL TINCAU CELIA,ARDUD,ARDUDUL MIC,"ARDUD, Strada ARDUDUL MIC",223,261771028,749092577,261771028; 749092577
CABINET MEDICAL INDIVIDUAL Dr. TODICA ROXANA,CABINET MEDICAL INDIVIDUAL Dr. TODICA ROXANA,CAMARZANA,PRINCIPALA,"CAMARZANA, Strada PRINCIPALA",204,261833013,765430770,261833013; 765430770
CABINET MEDICAL INDIVIDUAL Dr. TURCU ANGELA,CABINET MEDICAL INDIVIDUAL Dr. TURCU ANGELA,TASNAD,ZORILOR,"TASNAD, Strada ZORILOR",12,261825920,748294550,261825920; 748294550
CABINET MEDICAL INDIVIDUAL Dr. VARGA RAMONA,CABINET MEDICAL INDIVIDUAL Dr. VARGA RAMONA,CAREI,P-ta 25 OCTOMBRIE,"CAREI, Strada P-ta 25 OCTOMBRIE",231,,744800632,; 744800632
CABINET MEDICAL INDIVIDUAL ZAHARIE VICTOR,CABINET MEDICAL INDIVIDUAL ZAHARIE VICTOR,CAPLENI,PRINCIPALA,"CAPLENI, Strada PRINCIPALA",3,261873087,745312233,261873087; 745312233
SOCIETATE CIVILA MEDICALA PRAXIS Dr. HORBER-Dr. ZILAHI,SOCIETATE CIVILA MEDICALA PRAXIS Dr. HORBER-Dr. ZILAHI,BIXAD,PRINCIPALA,"BIXAD, Strada PRINCIPALA",162,261806045,767294270,261806045; 767294270
CABINET MEDICAL INDIVIDUAL  Dr. ZSOLDOS,CABINET MEDICAL INDIVIDUAL  Dr. ZSOLDOS,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",55,361882021,753027874,361882021; 753027874
