contractNo,supplierName,Localitate,Adresa cabinetului,address,phone,email
157,SC MEDICAL CENTER DR. BARBULESCU SRL,Petrosani,"Social, Petrosani, str. 1 Iunie, nr. 2, bl. 2, ap. 3; Secundar 1: Petrila, str. Republicii, bl. 106, ap. 1, Secundar 2: Petrila, Caminul Cultural Cimpa, et. 1 ","Petrosani, Social, Petrosani, str. 1 Iunie, nr. 2, bl. 2, ap. 3; Secundar 1: Petrila, str. Republicii, bl. 106, ap. 1, Secundar 2: Petrila, Caminul Cultural Cimpa, et. 1 ",0764646336,scmcdbsrl@yahoo.com
158,CMI DR. CAMPEANU EMIL,Petrosani,"str. Aviatorilor, nr. 60A, ap. 1","Petrosani, str. Aviatorilor, nr. 60A, ap. 1","0723316825, 0254540079",cmi.campeanu@yahoo.com
159,SC NATUR MED SRL,Petrosani,"Social: str. Anghel Saligny, bl. 6, ap. 2; Secundar: str. Horea, nr. 63B/16","Petrosani, Social: str. Anghel Saligny, bl. 6, ap. 2; Secundar: str. Horea, nr. 63B/16",0788204600,dr_cernatescu@yahoo.com
160,CMI GHEORGHIU,Petrosani,"str. Eroilor, nr. 1","Petrosani, str. Eroilor, nr. 1",0254540952,cmidrgc2011@yahoo.com
161,CMI DR. GOGA  VASILE,Petrosani,"str. St. O. Iosif, bl. 6, ap. 26","Petrosani, str. St. O. Iosif, bl. 6, ap. 26",0254549674,alexandru22tm@yahoo.com
162,CMI DR. HAJDU GIZELLA,Petrosani,"str. Constructorului, nr. 10/11","Petrosani, str. Constructorului, nr. 10/11",0254540924,cmihajdugi@yahoo.com
163,CMI DR. IAKAB ILEANA LUMINITA,Petrosani,"str. Constructorul, nr. 14","Petrosani, str. Constructorul, nr. 14",0254540923,drliievr@gmail.com
164,SC CENTRUL MEDICAL UDREA IONASCU SRL,Petrosani,"str. Aleea Poporului, nr. 3A/12","Petrosani, str. Aleea Poporului, nr. 3A/12",0254542600,medicaludreaionascu@yahoo.com
165,CMI DR. ODAE LACRAMIOARA,Petrosani,"str. Unirii, nr. 13/P","Petrosani, str. Unirii, nr. 13/P",0723307078,lacramioaraodae@yahoo.com
166,CMI DR. POP DANIELA ,Petrosani,"str. Aviatorilor, bl. 15C, ap. 1","Petrosani, str. Aviatorilor, bl. 15C, ap. 1",0723316843,dr.popdaniela@yahoo.com
167,CMI DR. PRESURA DANA FELICIA IOANA,Petrosani,"str. General Vasile Milea, nr. 28A/I/1","Petrosani, str. General Vasile Milea, nr. 28A/I/1",0723290169,presura.cjas@gmail.com
168,CMI REBRISOREANU,Petrosani,"str. Eroilor, nr. 1","Petrosani, str. Eroilor, nr. 1",0254547059,cmi.angela.rebrisoreanu@gmail.com
169,CMI ASCLEPIOS 2000,Petrosani,"str. Timisoara, nr. 7","Petrosani, str. Timisoara, nr. 7",0747070665,stefannicoleta06@yahoo.com
170,CMI DR. TOMA CLAUDIU-ADRIAN,Petrosani,"str. Independentei, nr. 2","Petrosani, str. Independentei, nr. 2",0723572347,tomaclau@gmail.com
171,CMI DR. VANKO IOAN,Petrosani,"str. Unirii, nr. 13/P","Petrosani, str. Unirii, nr. 13/P",0723256812,ioanvanko@yahoo.com
172,CMI DR. BORNEMISA MIHAELA,Pui,"str. Republicii, nr. 67","Pui, str. Republicii, nr. 67",0745658441,mihaelabornemisa@yahoo.com
173,CMI DR. STOICA GHEORGHITA,Pui,"str. Republicii, nr. 53","Pui, str. Republicii, nr. 53",0723651933,gheorghitas407@gmail.com
174,CMI MEDICINA DE FAMILIE,Rapoltu Mare,"str. Principala, nr. 320","Rapoltu Mare, str. Principala, nr. 320",0723530214,daniela.bota@yahoo.com
175,CMI DR. CREMENASIU-RIBITA,Ribita,str. Principala,"Ribita, str. Principala",0745626984,jigoriacristian@yahoo.com
176,CMI PRO VITA,Riu de Mori,"str. Principala, nr. 33","Riu de Mori, str. Principala, nr. 33",0744577374,corinabotca6@gmail.com
177,CMI DR. CRACIUN ALINA,Romos,"str. Principala, nr. 113","Romos, str. Principala, nr. 113",0254245339,cmicraciun@yahoo.com
178,CMI DR. NONN ANDREI PAUL,Romos,"str. Principala, nr. 113","Romos, str. Principala, nr. 113",0254245628,andrei_nonn@yahoo.com
179,CMI SILVA-MED,Salasu de Sus,"str. Principala, nr. 22","Salasu de Sus, str. Principala, nr. 22",0761147237,dsvss25@gmail.com
180,CMI MARISAN,Sarmizegetusa,"str. Principala, nr. 4","Sarmizegetusa, str. Principala, nr. 4",0746032113,torra2358@yahoo.com
181,CMI ART-MEDICA,Simeria,"str. Avram Iancu, nr. 24","Simeria, str. Avram Iancu, nr. 24",0722263058,artmedica.simeria@gmail.com
182,CMI HEALTY-MED,Simeria,"str. Avram Iancu, nr. 24","Simeria, str. Avram Iancu, nr. 24",0745526438,healtymed@yahoo.com
183,CMI DR. DAN OLIVIA-LILIANA,Simeria,"str. Privighetorii, nr. 5","Simeria, str. Privighetorii, nr. 5",0744507789,lilidan10@yahoo.com
184,SC DIMED SRL,Simeria,"str. Victoriei, nr. 3","Simeria, str. Victoriei, nr. 3",0722261224,dita_gombosiu@yahoo.com
185,CMI DR. ILIA-VESA TUDOR,Simeria,"str. Closca, nr. 10/24","Simeria, str. Closca, nr. 10/24",0254262117,cmi.ivt@gmail.com
186,CMI DR. PIENAR LIVIA,Simeria,"str. Atelierelor, nr. 32","Simeria, str. Atelierelor, nr. 32",0745368045,liviapienar@yahoo.com
187,CMI DR. RADOI CORINA,Simeria,"str. Avram Iancu, bl. 13, ap. 2","Simeria, str. Avram Iancu, bl. 13, ap. 2",0730460216,radoicorina@yahoo.com
188,SC BIOMED DORIS SRL,Simeria,"Social:str. Piata Unirii, bl. 21/P, Secundar: str. Avram Iancu, nr. 24","Simeria, Social:str. Piata Unirii, bl. 21/P, Secundar: str. Avram Iancu, nr. 24",0254262005,biomed_doris@yahoo.com
189,CMI DR. VASILESCU NICOLETA,Simeria,"str. Avram Iancu, nr. 24","Simeria, str. Avram Iancu, nr. 24",0744645994,cmivasilescunicoleta@gmail.com
190,CMI CONSULT MED,Sintamaria Orlea,"str. Principala, nr. 29","Sintamaria Orlea, str. Principala, nr. 29",0742055915,cmi.andreimariana@yahoo.com
191,CMI CONSULT MED. 2,Sintamaria Orlea,str. Principala,"Sintamaria Orlea, str. Principala",0740009657,ratiuninalia@gmail.com
192,CMI DR. TROCAN  ELENA,Sintandrei,str. Principala,"Sintandrei, str. Principala",0722872336,elena06doc@yahoo.com
193,CMI ALMA MED,Soimus,"str. Principala, nr. 309","Soimus, str. Principala, nr. 309",0254237354,cristina.caprini@yahoo.com
194,SC SIGMA MED SRL,Soimus,"str. Principala, nr. 309","Soimus, str. Principala, nr. 309",0254237500,angelamolot@yahoo.com
195,CMI DR. BRANESC SMARANDITA,Teliucu Inferior,"str. Minei, nr. 42","Teliucu Inferior, str. Minei, nr. 42","0740099418, 0254738139",cmibranesc@yahoo.com
196,CMI DR. OPRISA DANIELA CAMELIA,Tomesti,str. Principala,"Tomesti, str. Principala",0254681821,crystyna_92kitty@yahoo.com
197,CMI DR. MOGA  DANIELA,Toplita,str. Principala,"Toplita, str. Principala",0727878917,cmi_dr.mogadaniela@yahoo.com
198,SC ROBIMED CENTER XX1 SRL,Uricani,"str. Aleea Teilor, nr. 1","Uricani, str. Aleea Teilor, nr. 1","0723381778, 0254540574",dr.robimed@yahoo.com
199,CMI DR. DOBRESCU COSTIN,Uricani,"str. Al. Teilor, nr. 1","Uricani, str. Al. Teilor, nr. 1",0722368436,dr.dobrescucostin@gmail.com
200,CMI DR. NEDELCU CLAUDIU ,Uricani,"str. Aleea Teilor, nr. 1","Uricani, str. Aleea Teilor, nr. 1","0765715883, 0254510330",nedelcu_claudius@yahoo.com
201,CMI DR. RESIGA ANGELICA,Uricani,"str. Teilor, nr. 1","Uricani, str. Teilor, nr. 1",0723350106,drresigaangelica@gmail.com
202,CMI DR. RESIGA PETRU,Uricani,"str. Teilor, nr. 1","Uricani, str. Teilor, nr. 1",0723350106,drresigapetru@gmail.com
203,CMI MEDI-COM,Valisoara,"str. Principala, nr. 186","Valisoara, str. Principala, nr. 186",0724287635,dr_lazar_mihaela@yahoo.com
204,CMI MEDIFRE,Vata de Jos,"str. Libertatii, nr. 5","Vata de Jos, str. Libertatii, nr. 5",0744535268,lenuta.floreta@gmail.com
205,CMI DR. FRUJA-COSTIN ANGELA,Vata de Jos,"str. Libertatii, nr. 9","Vata de Jos, str. Libertatii, nr. 9",0254681069,frujacostinangela@gmail.com
206,CMI DR. NEAMTU LAVINIA,Vetel,"str. Mihai Eminescu, nr. 257","Vetel, str. Mihai Eminescu, nr. 257",0744625096,neamtu.lavinia@yahoo.com
207,CMI DR. ANDRON MARIANA DANIELA,Vulcan,"str. Nicolae Titulescu, nr. 59","Vulcan, str. Nicolae Titulescu, nr. 59",0723609113,androndaniela@yahoo.com
208,CMI DR. BERGHIAN HAJNAL MARIA,Vulcan,"str. Nicolae Titulescu, nr. 59","Vulcan, str. Nicolae Titulescu, nr. 59",0254570960,maria_berghian@yahoo.com
209,CMI DR. BUMB  MARCEL,Vulcan,"str. Nicolae Titulescu, nr. 59","Vulcan, str. Nicolae Titulescu, nr. 59","0722777706, 0745529952",marcel_bumb@yahoo.com
210,CMI DR. CRISTEA EUGENIA,Vulcan,"str. Nicolae Titulescu, bl. T3, ap. 2","Vulcan, str. Nicolae Titulescu, bl. T3, ap. 2",0254572293,cristea.eugenia@yahoo.com
211,CMI DR. DAIAN MARIUS,Vulcan,"str. Vasile Alecsandri, nr. 41","Vulcan, str. Vasile Alecsandri, nr. 41",0354738197,marius_daian@yahoo.com
212,CMI DR. GARTNER ELENA,Vulcan,"str. Nicolae Titulescu, nr. 59","Vulcan, str. Nicolae Titulescu, nr. 59",0770624434,dr_gartnerelena@yahoo.com
213,CMI DR. GINDA  EMILIA,Vulcan,"Aleea Lacramioarelor, nr. 5, bl. 32/20","Vulcan, Aleea Lacramioarelor, nr. 5, bl. 32/20",0723249580,cmidrgindaemilia@yahoo.com
214,CMI DR. ILYES ANTON EUGEN,Vulcan,"str. Nicolae Titulescu, nr. 59","Vulcan, str. Nicolae Titulescu, nr. 59",0721645376,dr_ilyes@yahoo.com
215,CM ASOCIAT DR. PAPADIE ION,Vulcan,"str. N. Titulescu, nr. 59","Vulcan, str. N. Titulescu, nr. 59",0254570294,cma_drpapadieion@yahoo.com
216,CM ASOCIAT MEDICAL DR. ROGOJANU MARIAN,Vulcan,"str. NicolaeTitulescu, nr. 59","Vulcan, str. NicolaeTitulescu, nr. 59",0769677996,cma286@yahoo.com
217,CMI DR. FOGOROSI  IANOS,Zam,"str. Principala, nr. 268","Zam, str. Principala, nr. 268",0254280503,fogorosi_valy@yahoo.com
